work_year,job_title,job_category,currency,salary,salary_dollar_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_euro,cost_of_living_index,salary_adjusted_coli
2023,Data Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,Remote,United States,M,125120.0,100.0,136000.0
2023,Data Scientist,Data Science and Research,USD,104000,104000,United States,Senior,Full-time,Remote,United States,M,95680.0,100.0,104000.0
2023,Data Scientist,Data Science and Research,USD,143000,143000,United States,Mid-level,Full-time,Remote,United States,M,131560.0,100.0,143000.0
2023,Data Scientist,Data Science and Research,USD,117000,117000,United States,Mid-level,Full-time,Remote,United States,M,107640.0,100.0,117000.0
2023,Data Scientist,Data Science and Research,USD,110000,110000,United States,Senior,Full-time,Remote,United States,M,101200.0,100.0,110000.0
2023,Data Scientist,Data Science and Research,GBP,60000,73824,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,67918.08,82.7,89267.23
2023,Data Scientist,Data Science and Research,GBP,45000,55368,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,50938.56,82.7,66950.42
2023,Research Engineer,Data Science and Research,USD,370000,370000,United States,Senior,Full-time,In-person,United States,M,340400.0,100.0,370000.0
2023,Research Engineer,Data Science and Research,USD,200000,200000,United States,Senior,Full-time,In-person,United States,M,184000.0,100.0,200000.0
2023,Data Scientist,Data Science and Research,USD,275300,275300,United States,Senior,Full-time,Remote,United States,M,253276.0,100.0,275300.0
2023,Data Scientist,Data Science and Research,USD,183500,183500,United States,Senior,Full-time,Remote,United States,M,168820.0,100.0,183500.0
2023,Applied Scientist,Data Science and Research,USD,230000,230000,United States,Senior,Full-time,Remote,United States,M,211600.0,100.0,230000.0
2023,Applied Scientist,Data Science and Research,USD,196000,196000,United States,Senior,Full-time,Remote,United States,M,180320.0,100.0,196000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,253000,253000,United States,Senior,Full-time,Remote,United States,M,232760.0,100.0,253000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,172040,172040,United States,Senior,Full-time,Remote,United States,M,158276.8,100.0,172040.0
2023,Data Engineer,Data Engineering,USD,234000,234000,United States,Senior,Full-time,Remote,United States,M,215280.0,100.0,234000.0
2023,Data Engineer,Data Engineering,USD,178000,178000,United States,Senior,Full-time,Remote,United States,M,163760.0,100.0,178000.0
2023,Data Scientist,Data Science and Research,USD,164000,164000,United States,Senior,Full-time,Remote,United States,M,150880.0,100.0,164000.0
2023,Business Intelligence Specialist,BI and Visualization,USD,109238,109238,United States,Mid-level,Full-time,In-person,United States,M,100498.96,100.0,109238.0
2023,Business Intelligence Specialist,BI and Visualization,USD,68274,68274,United States,Mid-level,Full-time,In-person,United States,M,62812.08,100.0,68274.0
2023,Data Engineer,Data Engineering,EUR,53000,57223,France,Mid-level,Full-time,Remote,France,M,52645.16,79.8,71708.02
2023,Data Engineer,Data Engineering,EUR,48000,51824,France,Mid-level,Full-time,Remote,France,M,47678.08,79.8,64942.36
2023,Data Analyst,Data Analysis,USD,80800,80800,United States,Entry-level,Full-time,In-person,United States,M,74336.0,100.0,80800.0
2023,Data Analyst,Data Analysis,USD,53800,53800,United States,Entry-level,Full-time,In-person,United States,M,49496.0,100.0,53800.0
2023,Data Engineer,Data Engineering,USD,258900,258900,United States,Senior,Full-time,Remote,United States,M,238188.0,100.0,258900.0
2023,Data Engineer,Data Engineering,USD,176080,176080,United States,Senior,Full-time,Remote,United States,M,161993.6,100.0,176080.0
2023,Business Intelligence Analyst,BI and Visualization,USD,120000,120000,United States,Mid-level,Full-time,Remote,United States,M,110400.0,100.0,120000.0
2023,Business Intelligence Analyst,BI and Visualization,USD,110000,110000,United States,Mid-level,Full-time,Remote,United States,M,101200.0,100.0,110000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,309000,309000,United States,Senior,Full-time,In-person,United States,M,284280.0,100.0,309000.0
2023,Data Quality Analyst,Data Quality and Operations,USD,65000,65000,United States,Mid-level,Full-time,Remote,United States,M,59800.0,100.0,65000.0
2023,Data Quality Analyst,Data Quality and Operations,USD,60000,60000,United States,Mid-level,Full-time,Remote,United States,M,55200.0,100.0,60000.0
2023,Data Engineer,Data Engineering,USD,132100,132100,United States,Senior,Full-time,In-person,United States,M,121532.0,100.0,132100.0
2023,Data Engineer,Data Engineering,USD,68400,68400,United States,Senior,Full-time,In-person,United States,M,62928.0,100.0,68400.0
2023,Business Intelligence Engineer,BI and Visualization,USD,160000,160000,United States,Senior,Full-time,Remote,United States,M,147200.0,100.0,160000.0
2023,Business Intelligence Engineer,BI and Visualization,USD,140000,140000,United States,Senior,Full-time,Remote,United States,M,128800.0,100.0,140000.0
2023,Data Analyst,Data Analysis,USD,62500,62500,United States,Mid-level,Full-time,Remote,United States,M,57500.0,100.0,62500.0
2023,Data Analyst,Data Analysis,USD,142000,142000,United States,Senior,Full-time,In-person,United States,M,130640.0,100.0,142000.0
2023,Data Analyst,Data Analysis,USD,128000,128000,United States,Senior,Full-time,In-person,United States,M,117760.0,100.0,128000.0
2023,Data Scientist,Data Science and Research,USD,155000,155000,United States,Senior,Full-time,In-person,United States,M,142600.0,100.0,155000.0
2023,Data Scientist,Data Science and Research,USD,139500,139500,United States,Senior,Full-time,In-person,United States,M,128340.0,100.0,139500.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,221000,221000,United States,Senior,Full-time,In-person,United States,M,203320.0,100.0,221000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,129000,129000,United States,Senior,Full-time,In-person,United States,M,118680.0,100.0,129000.0
2023,Data Engineer,Data Engineering,USD,259000,259000,United States,Senior,Full-time,In-person,United States,M,238280.0,100.0,259000.0
2023,Data Engineer,Data Engineering,USD,138750,138750,United States,Senior,Full-time,In-person,United States,M,127650.0,100.0,138750.0
2023,Data Scientist,Data Science and Research,USD,100000,100000,United States,Senior,Full-time,In-person,United States,M,92000.0,100.0,100000.0
2023,Research Engineer,Data Science and Research,USD,155000,155000,United States,Senior,Full-time,In-person,United States,M,142600.0,100.0,155000.0
2023,Research Engineer,Data Science and Research,USD,130000,130000,United States,Senior,Full-time,In-person,United States,M,119600.0,100.0,130000.0
2023,Applied Scientist,Data Science and Research,USD,215000,215000,United States,Senior,Full-time,In-person,United States,M,197800.0,100.0,215000.0
2023,Applied Scientist,Data Science and Research,USD,182750,182750,United States,Senior,Full-time,In-person,United States,M,168130.0,100.0,182750.0
2023,Data Scientist,Data Science and Research,USD,207000,207000,United States,Senior,Full-time,Remote,United States,M,190440.0,100.0,207000.0
2023,Data Scientist,Data Science and Research,USD,141000,141000,United States,Senior,Full-time,Remote,United States,M,129720.0,100.0,141000.0
2023,Data Scientist,Data Science and Research,USD,90000,90000,United States,Mid-level,Full-time,In-person,United States,M,82800.0,100.0,90000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,36000,36000,Uganda,Entry-level,Full-time,Remote,United States,M,33120.0,100.0,36000.0
2023,Research Engineer,Data Science and Research,USD,300000,300000,United States,Mid-level,Full-time,In-person,United States,M,276000.0,100.0,300000.0
2023,Data Analyst,Data Analysis,USD,116700,116700,United States,Mid-level,Full-time,In-person,United States,M,107364.0,100.0,116700.0
2023,Data Analyst,Data Analysis,USD,93400,93400,United States,Mid-level,Full-time,In-person,United States,M,85928.0,100.0,93400.0
2023,Data Analyst,Data Analysis,USD,80000,80000,United States,Entry-level,Full-time,In-person,United States,M,73600.0,100.0,80000.0
2023,Data Analyst,Data Analysis,USD,50000,50000,United States,Entry-level,Full-time,In-person,United States,M,46000.0,100.0,50000.0
2023,Applied Scientist,Data Science and Research,USD,179000,179000,United States,Mid-level,Full-time,In-person,United States,M,164680.0,100.0,179000.0
2023,Applied Scientist,Data Science and Research,USD,176490,176490,United States,Mid-level,Full-time,In-person,United States,M,162370.8,100.0,176490.0
2023,Data Scientist,Data Science and Research,USD,195000,195000,United States,Senior,Full-time,In-person,United States,M,179400.0,100.0,195000.0
2023,Data Scientist,Data Science and Research,USD,143750,143750,United States,Senior,Full-time,In-person,United States,M,132250.0,100.0,143750.0
2023,Data Scientist,Data Science and Research,USD,180000,180000,United States,Mid-level,Full-time,In-person,United States,M,165600.0,100.0,180000.0
2023,Data Scientist,Data Science and Research,USD,162000,162000,United States,Mid-level,Full-time,In-person,United States,M,149040.0,100.0,162000.0
2023,Data Scientist,Data Science and Research,USD,199000,199000,United States,Senior,Full-time,In-person,United States,M,183080.0,100.0,199000.0
2023,Data Scientist,Data Science and Research,USD,196760,196760,United States,Senior,Full-time,In-person,United States,M,181019.2,100.0,196760.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,90000,90000,Colombia,Senior,Full-time,In-person,Colombia,M,82800.0,27.9,322580.65
2023,Machine Learning Engineer,Machine Learning and AI,USD,70000,70000,Colombia,Senior,Full-time,In-person,Colombia,M,64400.0,27.9,250896.06
2023,ML Engineer,Machine Learning and AI,USD,324000,324000,United States,Senior,Full-time,In-person,United States,M,298080.0,100.0,324000.0
2023,ML Engineer,Machine Learning and AI,USD,159000,159000,United States,Senior,Full-time,In-person,United States,M,146280.0,100.0,159000.0
2023,Data Engineer,Data Engineering,USD,222000,222000,United States,Senior,Full-time,In-person,United States,M,204240.0,100.0,222000.0
2023,AI Developer,Machine Learning and AI,USD,50000,50000,Ukraine,Entry-level,Full-time,Remote,Ukraine,M,46000.0,29.8,167785.23
2023,Machine Learning Engineer,Machine Learning and AI,EUR,65000,70179,Italy,Senior,Full-time,Remote,United States,L,64564.68,100.0,70179.0
2023,BI Developer,BI and Visualization,USD,110000,110000,United States,Mid-level,Full-time,In-person,United States,M,101200.0,100.0,110000.0
2023,BI Developer,BI and Visualization,USD,75000,75000,United States,Mid-level,Full-time,In-person,United States,M,69000.0,100.0,75000.0
2023,Data Analyst,Data Analysis,EUR,43000,46426,Slovenia,Mid-level,Full-time,In-person,Slovenia,M,42711.92,62.8,73926.75
2023,Data Analyst,Data Analysis,EUR,36000,38868,Slovenia,Mid-level,Full-time,In-person,Slovenia,M,35758.56,62.8,61891.72
2023,Machine Learning Engineer,Machine Learning and AI,USD,80000,80000,United States,Senior,Full-time,In-person,United States,M,73600.0,100.0,80000.0
2023,Research Scientist,Data Science and Research,USD,150000,150000,United States,Mid-level,Full-time,In-person,United States,M,138000.0,100.0,150000.0
2023,Research Scientist,Data Science and Research,USD,130000,130000,United States,Mid-level,Full-time,In-person,United States,M,119600.0,100.0,130000.0
2023,Data Analyst,Data Analysis,USD,126500,126500,United States,Senior,Full-time,Remote,United States,M,116380.0,100.0,126500.0
2023,Data Analyst,Data Analysis,USD,78000,78000,United States,Senior,Full-time,Remote,United States,M,71760.0,100.0,78000.0
2023,Data Lead,Leadership and Management,USD,250000,250000,United States,Executive,Full-time,In-person,United States,M,230000.0,100.0,250000.0
2023,Data Lead,Leadership and Management,USD,222000,222000,United States,Executive,Full-time,In-person,United States,M,204240.0,100.0,222000.0
2023,Data Analyst,Data Analysis,USD,120000,120000,United States,Senior,Full-time,Remote,United States,M,110400.0,100.0,120000.0
2023,Decision Scientist,Data Science and Research,USD,204500,204500,United States,Mid-level,Full-time,In-person,United States,M,188140.0,100.0,204500.0
2023,Decision Scientist,Data Science and Research,USD,142200,142200,United States,Mid-level,Full-time,In-person,United States,M,130824.0,100.0,142200.0
2023,Data Scientist,Data Science and Research,USD,297000,297000,United States,Senior,Full-time,In-person,United States,M,273240.0,100.0,297000.0
2023,Data Scientist,Data Science and Research,USD,138000,138000,United States,Senior,Full-time,In-person,United States,M,126960.0,100.0,138000.0
2023,Data Analyst,Data Analysis,USD,147600,147600,United States,Mid-level,Full-time,In-person,United States,M,135792.0,100.0,147600.0
2023,Data Analyst,Data Analysis,USD,106300,106300,United States,Mid-level,Full-time,In-person,United States,M,97796.0,100.0,106300.0
2023,Data Analyst,Data Analysis,GBP,83376,102586,United Kingdom,Senior,Full-time,In-person,United Kingdom,M,94379.12,82.7,124045.95
2023,Data Analyst,Data Analysis,GBP,65004,79981,United Kingdom,Senior,Full-time,In-person,United Kingdom,M,73582.52,82.7,96712.21
2023,Data Science Consultant,Data Science and Research,USD,131250,131250,United States,Senior,Full-time,In-person,United States,M,120750.0,100.0,131250.0
2023,Data Science Consultant,Data Science and Research,USD,128100,128100,United States,Senior,Full-time,In-person,United States,M,117852.0,100.0,128100.0
2023,Data Engineer,Data Engineering,USD,174500,174500,United States,Executive,Full-time,Remote,United States,M,160540.0,100.0,174500.0
2023,Data Engineer,Data Engineering,USD,113000,113000,United States,Executive,Full-time,Remote,United States,M,103960.0,100.0,113000.0
2023,Financial Data Analyst,Data Analysis,USD,56500,56500,United States,Entry-level,Full-time,Hybrid,United States,L,51980.0,100.0,56500.0
2023,AI Engineer,Machine Learning and AI,EUR,36000,38868,Romania,Senior,Full-time,In-person,Romania,M,35758.56,44.1,88136.05
2023,Data Scientist,Data Science and Research,USD,227000,227000,United States,Senior,Full-time,Remote,United States,M,208840.0,100.0,227000.0
2023,Data Scientist,Data Science and Research,USD,185000,185000,United States,Senior,Full-time,Remote,United States,M,170200.0,100.0,185000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,230000,230000,United States,Mid-level,Full-time,In-person,United States,M,211600.0,100.0,230000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,160000,160000,United States,Mid-level,Full-time,In-person,United States,M,147200.0,100.0,160000.0
2023,Data Engineer,Data Engineering,USD,138300,138300,United States,Senior,Full-time,In-person,United States,M,127236.0,100.0,138300.0
2023,Data Engineer,Data Engineering,USD,110700,110700,United States,Senior,Full-time,In-person,United States,M,101844.0,100.0,110700.0
2023,Business Intelligence Analyst,BI and Visualization,USD,130000,130000,United States,Senior,Full-time,In-person,United States,M,119600.0,100.0,130000.0
2023,Business Intelligence Analyst,BI and Visualization,USD,80000,80000,United States,Senior,Full-time,In-person,United States,M,73600.0,100.0,80000.0
2023,Data Engineer,Data Engineering,USD,212175,212175,United States,Senior,Full-time,Remote,United States,M,195201.0,100.0,212175.0
2023,Data Engineer,Data Engineering,USD,156000,156000,United States,Senior,Full-time,Remote,United States,M,143520.0,100.0,156000.0
2023,Data Analyst,Data Analysis,USD,111151,111151,United States,Mid-level,Full-time,Remote,United States,M,102258.92,100.0,111151.0
2023,Data Analyst,Data Analysis,USD,66691,66691,United States,Mid-level,Full-time,Remote,United States,M,61355.72,100.0,66691.0
2023,Data Scientist,Data Science and Research,USD,190000,190000,United States,Senior,Full-time,In-person,United States,M,174800.0,100.0,190000.0
2023,Data Scientist,Data Science and Research,USD,138700,138700,United States,Senior,Full-time,In-person,United States,M,127604.0,100.0,138700.0
2023,Data Analyst,Data Analysis,USD,95040,95040,United States,Senior,Full-time,Remote,United States,M,87436.8,100.0,95040.0
2023,Data Analyst,Data Analysis,USD,59400,59400,United States,Senior,Full-time,Remote,United States,M,54648.0,100.0,59400.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,197802,197802,United States,Senior,Full-time,Remote,United States,M,181977.84,100.0,197802.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,156453,156453,United States,Senior,Full-time,Remote,United States,M,143936.76,100.0,156453.0
2023,Data Scientist,Data Science and Research,USD,308000,308000,United States,Senior,Full-time,In-person,United States,M,283360.0,100.0,308000.0
2023,Data Scientist,Data Science and Research,USD,144000,144000,United States,Senior,Full-time,In-person,United States,M,132480.0,100.0,144000.0
2023,Data Quality Analyst,Data Quality and Operations,USD,172000,172000,United States,Senior,Full-time,In-person,United States,M,158240.0,100.0,172000.0
2023,Data Quality Analyst,Data Quality and Operations,USD,140000,140000,United States,Senior,Full-time,In-person,United States,M,128800.0,100.0,140000.0
2023,Data Engineer,Data Engineering,GBP,73000,89819,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,82633.48,82.7,108608.22
2023,Data Engineer,Data Engineering,GBP,59000,72593,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,66785.56,82.7,87778.72
2023,Data Engineer,Data Engineering,USD,122400,122400,United States,Senior,Full-time,Remote,United States,M,112608.0,100.0,122400.0
2023,Research Analyst,Data Science and Research,USD,80000,80000,United States,Mid-level,Full-time,In-person,United States,M,73600.0,100.0,80000.0
2023,Research Analyst,Data Science and Research,USD,70000,70000,United States,Mid-level,Full-time,In-person,United States,M,64400.0,100.0,70000.0
2023,Data Analyst,Data Analysis,USD,90000,90000,United States,Senior,Full-time,In-person,United States,M,82800.0,100.0,90000.0
2023,Data Engineer,Data Engineering,USD,227500,227500,United States,Senior,Full-time,Remote,United States,M,209300.0,100.0,227500.0
2023,Data Engineer,Data Engineering,USD,147500,147500,United States,Senior,Full-time,Remote,United States,M,135700.0,100.0,147500.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,150000,150000,United States,Mid-level,Full-time,Remote,United States,M,138000.0,100.0,150000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,50000,50000,United States,Mid-level,Full-time,Remote,United States,M,46000.0,100.0,50000.0
2023,Data Engineer,Data Engineering,GBP,60000,73824,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,67918.08,82.7,89267.23
2023,Data Engineer,Data Engineering,GBP,45000,55368,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,50938.56,82.7,66950.42
2023,Data Science Engineer,Data Science and Research,USD,220000,220000,United States,Senior,Full-time,Remote,United States,M,202400.0,100.0,220000.0
2023,Data Science Engineer,Data Science and Research,USD,180000,180000,United States,Senior,Full-time,Remote,United States,M,165600.0,100.0,180000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,331640,331640,United States,Senior,Full-time,In-person,United States,M,305108.8,100.0,331640.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,267720,267720,United States,Senior,Full-time,In-person,United States,M,246302.4,100.0,267720.0
2023,Data Engineer,Data Engineering,USD,190000,190000,United States,Mid-level,Full-time,Remote,United States,M,174800.0,100.0,190000.0
2023,Data Engineer,Data Engineering,USD,130000,130000,United States,Mid-level,Full-time,Remote,United States,M,119600.0,100.0,130000.0
2023,Data Engineer,Data Engineering,USD,150000,150000,United States,Mid-level,Full-time,Remote,United States,M,138000.0,100.0,150000.0
2023,Data Engineer,Data Engineering,USD,50000,50000,United States,Mid-level,Full-time,Remote,United States,M,46000.0,100.0,50000.0
2023,Analytics Engineer,Leadership and Management,USD,172200,172200,United States,Mid-level,Full-time,Remote,United States,M,158424.0,100.0,172200.0
2023,Analytics Engineer,Leadership and Management,USD,131200,131200,United States,Mid-level,Full-time,Remote,United States,M,120704.0,100.0,131200.0
2023,Data Strategy Manager,Data Management and Strategy,USD,250000,250000,United States,Senior,Full-time,Remote,United States,M,230000.0,100.0,250000.0
2023,Data Strategy Manager,Data Management and Strategy,USD,100000,100000,United States,Senior,Full-time,Remote,United States,M,92000.0,100.0,100000.0
2023,Data Engineer,Data Engineering,USD,165000,165000,United States,Senior,Full-time,Remote,United States,M,151800.0,100.0,165000.0
2023,Data Analyst,Data Analysis,USD,155000,155000,United States,Senior,Full-time,In-person,United States,M,142600.0,100.0,155000.0
2023,Data Analyst,Data Analysis,USD,280000,280000,United States,Senior,Full-time,In-person,United States,M,257600.0,100.0,280000.0
2023,Data Analyst,Data Analysis,USD,200000,200000,United States,Senior,Full-time,In-person,United States,M,184000.0,100.0,200000.0
2023,Data Manager,Leadership and Management,GBP,60000,73824,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,67918.08,82.7,89267.23
2023,Data Manager,Leadership and Management,GBP,55000,67672,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,62258.24,82.7,81828.3
2023,Data Scientist,Data Science and Research,USD,290000,290000,United States,Senior,Full-time,In-person,United States,M,266800.0,100.0,290000.0
2023,Data Scientist,Data Science and Research,USD,173200,173200,United States,Senior,Full-time,In-person,United States,M,159344.0,100.0,173200.0
2023,Data Scientist,Data Science and Research,USD,235000,235000,United States,Senior,Full-time,Remote,United States,M,216200.0,100.0,235000.0
2023,Data Scientist,Data Science and Research,USD,204000,204000,United States,Senior,Full-time,Remote,United States,M,187680.0,100.0,204000.0
2023,Machine Learning Scientist,Machine Learning and AI,USD,300000,300000,United States,Senior,Full-time,In-person,United States,M,276000.0,100.0,300000.0
2023,Machine Learning Scientist,Machine Learning and AI,USD,222000,222000,United States,Senior,Full-time,In-person,United States,M,204240.0,100.0,222000.0
2023,Data Scientist,Data Science and Research,USD,155000,155000,Canada,Senior,Full-time,In-person,Canada,M,142600.0,79.3,195460.28
2023,Data Scientist,Data Science and Research,USD,105000,105000,Canada,Senior,Full-time,In-person,Canada,M,96600.0,79.3,132408.58
2023,Machine Learning Engineer,Machine Learning and AI,USD,287500,287500,United States,Senior,Full-time,In-person,United States,M,264500.0,100.0,287500.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,212500,212500,United States,Senior,Full-time,In-person,United States,M,195500.0,100.0,212500.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,190027,190027,United States,Senior,Full-time,In-person,United States,M,174824.84,100.0,190027.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,152022,152022,United States,Senior,Full-time,In-person,United States,M,139860.24,100.0,152022.0
2023,Data Scientist,Data Science and Research,EUR,18000,19434,Greece,Entry-level,Full-time,Remote,Greece,L,17879.28,56.1,34641.71
2023,Data Engineer,Data Engineering,USD,131000,131000,Colombia,Mid-level,Full-time,In-person,Colombia,M,120520.0,27.9,469534.05
2023,Data Engineer,Data Engineering,USD,88000,88000,Colombia,Mid-level,Full-time,In-person,Colombia,M,80960.0,27.9,315412.19
2023,Machine Learning Engineer,Machine Learning and AI,USD,198000,198000,United States,Senior,Full-time,Remote,United States,M,182160.0,100.0,198000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,132000,132000,United States,Senior,Full-time,Remote,United States,M,121440.0,100.0,132000.0
2023,Business Intelligence Engineer,BI and Visualization,USD,125000,125000,United States,Senior,Full-time,Remote,United States,M,115000.0,100.0,125000.0
2023,Business Intelligence Engineer,BI and Visualization,USD,115000,115000,United States,Senior,Full-time,Remote,United States,M,105800.0,100.0,115000.0
2023,Data Manager,Leadership and Management,USD,145000,145000,United States,Senior,Full-time,In-person,United States,M,133400.0,100.0,145000.0
2023,Data Manager,Leadership and Management,USD,130000,130000,United States,Senior,Full-time,In-person,United States,M,119600.0,100.0,130000.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,170700,170700,United States,Senior,Full-time,In-person,United States,M,157044.0,100.0,170700.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,113900,113900,United States,Senior,Full-time,In-person,United States,M,104788.0,100.0,113900.0
2023,Data Engineer,Data Engineering,USD,185000,185000,United States,Senior,Full-time,In-person,United States,L,170200.0,100.0,185000.0
2023,Data Engineer,Data Engineering,USD,81000,81000,United States,Senior,Full-time,In-person,United States,L,74520.0,100.0,81000.0
2023,Data Scientist,Data Science and Research,USD,123000,123000,United States,Senior,Full-time,In-person,United States,M,113160.0,100.0,123000.0
2023,Data Manager,Leadership and Management,USD,80000,80000,United States,Executive,Full-time,In-person,United States,M,73600.0,100.0,80000.0
2023,Data Manager,Leadership and Management,USD,75000,75000,United States,Executive,Full-time,In-person,United States,M,69000.0,100.0,75000.0
2023,Data Analyst,Data Analysis,USD,53000,53000,United States,Mid-level,Full-time,Remote,United States,M,48760.0,100.0,53000.0
2023,Data Analyst,Data Analysis,USD,48000,48000,United States,Mid-level,Full-time,Remote,United States,M,44160.0,100.0,48000.0
2023,Analytics Engineer,Leadership and Management,GBP,300000,369120,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,339590.4,82.7,446336.15
2023,Analytics Engineer,Leadership and Management,GBP,60000,73824,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,67918.08,82.7,89267.23
2023,Data Scientist,Data Science and Research,USD,125000,125000,United States,Mid-level,Full-time,In-person,United States,M,115000.0,100.0,125000.0
2023,Data Engineer,Data Engineering,USD,190000,190000,United States,Senior,Full-time,In-person,United States,M,174800.0,100.0,190000.0
2023,Data Engineer,Data Engineering,USD,115000,115000,United States,Mid-level,Full-time,Remote,United States,M,105800.0,100.0,115000.0
2023,Computer Vision Engineer,Machine Learning and AI,USD,194000,194000,United States,Senior,Full-time,In-person,United States,M,178480.0,100.0,194000.0
2023,Computer Vision Engineer,Machine Learning and AI,USD,175000,175000,United States,Senior,Full-time,In-person,United States,M,161000.0,100.0,175000.0
2023,Data Analyst,Data Analysis,USD,185000,185000,United States,Senior,Full-time,In-person,United States,M,170200.0,100.0,185000.0
2023,Data Analyst,Data Analysis,USD,160000,160000,United States,Senior,Full-time,In-person,United States,M,147200.0,100.0,160000.0
2023,Data Engineer,Data Engineering,USD,185000,185000,United States,Senior,Full-time,In-person,United States,M,170200.0,100.0,185000.0
2023,Data Engineer,Data Engineering,USD,50000,50000,United States,Senior,Full-time,In-person,United States,M,46000.0,100.0,50000.0
2023,Data Manager,Leadership and Management,USD,70000,70000,United States,Executive,Full-time,In-person,United States,M,64400.0,100.0,70000.0
2023,Data Engineer,Data Engineering,USD,130916,130916,United States,Entry-level,Full-time,In-person,United States,M,120442.72,100.0,130916.0
2023,Data Engineer,Data Engineering,USD,120000,120000,United States,Entry-level,Full-time,In-person,United States,M,110400.0,100.0,120000.0
2023,Data Scientist,Data Science and Research,USD,160000,160000,United States,Senior,Full-time,Remote,United States,M,147200.0,100.0,160000.0
2023,Applied Scientist,Data Science and Research,USD,218213,218213,United States,Senior,Full-time,Remote,United States,M,200755.96,100.0,218213.0
2023,Applied Scientist,Data Science and Research,USD,178538,178538,United States,Senior,Full-time,Remote,United States,M,164254.96,100.0,178538.0
2023,Data Scientist,Data Science and Research,USD,316000,316000,United States,Senior,Full-time,In-person,United States,M,290720.0,100.0,316000.0
2023,Data Scientist,Data Science and Research,USD,202000,202000,United States,Senior,Full-time,In-person,United States,M,185840.0,100.0,202000.0
2023,Data Scientist,Data Science and Research,USD,189750,189750,United States,Senior,Full-time,Remote,United States,M,174570.0,100.0,189750.0
2023,Data Scientist,Data Science and Research,USD,119213,119213,United States,Senior,Full-time,Remote,United States,M,109675.96,100.0,119213.0
2023,Analytics Engineer,Leadership and Management,USD,162000,162000,United States,Senior,Full-time,In-person,United States,M,149040.0,100.0,162000.0
2023,Analytics Engineer,Leadership and Management,USD,130000,130000,United States,Senior,Full-time,In-person,United States,M,119600.0,100.0,130000.0
2023,Data Visualization Specialist,BI and Visualization,USD,170200,170200,United States,Senior,Full-time,In-person,United States,M,156584.0,100.0,170200.0
2023,Data Visualization Specialist,BI and Visualization,USD,83900,83900,United States,Senior,Full-time,In-person,United States,M,77188.0,100.0,83900.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,250944,250944,United States,Senior,Full-time,Remote,United States,M,230868.48,100.0,250944.0
2023,Machine Learning Engineer,Machine Learning and AI,USD,205318,205318,United States,Senior,Full-time,Remote,United States,M,188892.56,100.0,205318.0
2023,Data Engineer,Data Engineering,USD,125000,125000,United States,Senior,Full-time,In-person,United States,M,115000.0,100.0,125000.0
2023,Data Scientist,Data Science and Research,USD,135000,135000,United States,Senior,Full-time,In-person,United States,M,124200.0,100.0,135000.0
2023,Data Scientist,Data Science and Research,USD,114000,114000,United States,Senior,Full-time,In-person,United States,M,104880.0,100.0,114000.0
2023,Data Scientist,Data Science and Research,USD,218213,218213,United States,Senior,Full-time,Remote,United States,M,200755.96,100.0,218213.0
2023,Data Scientist,Data Science and Research,USD,178538,178538,United States,Senior,Full-time,Remote,United States,M,164254.96,100.0,178538.0
2023,Research Scientist,Data Science and Research,USD,240000,240000,United States,Senior,Full-time,In-person,United States,M,220800.0,100.0,240000.0
2023,Research Scientist,Data Science and Research,USD,163200,163200,United States,Senior,Full-time,In-person,United States,M,150144.0,100.0,163200.0
